source_stage,source_country,target_stage,target_country,value
mining,Australia,processing,Australia,744150.7050053973
mining,Australia,processing,Belgium,2040.2620139776027
mining,Australia,processing,Brazil,1041.4961278442834
mining,Australia,processing,Bulgaria,7396.86769716841
mining,Australia,processing,Canada,3632.282584248531
mining,Australia,processing,China,362527.5597167343
mining,Australia,processing,Germany,15420.908456498168
mining,Australia,processing,India,105508.35724957575
mining,Australia,processing,Indonesia,2622.7658368929906
mining,Australia,processing,Japan,91768.70522045923
mining,Australia,processing,Mexico,2040.1000259010123
mining,Australia,processing,Netherlands,556.0021906791865
mining,Australia,processing,Poland,966.3600726695017
mining,Australia,processing,South Korea,43340.08083161649
mining,Australia,processing,Russia,323.72236143876603
mining,Australia,processing,Spain,3018.7609157999855
mining,Australia,processing,USA,8151.821193008578
mining,Australia,processing,RoW Asia Pacific,48466.679174068486
mining,Australia,processing,RoW America,3318.2547951140823
mining,Australia,processing,RoW Africa,1672.8319464921597
mining,Australia,processing,RoW Middle East,7677.765249899756
mining,Australia,processing,RoW Europe,16607.576644508707
mining,Belgium,processing,Australia,0.0
mining,Belgium,processing,Belgium,0.0
mining,Belgium,processing,Brazil,0.0
mining,Belgium,processing,Bulgaria,0.0
mining,Belgium,processing,Canada,0.0
mining,Belgium,processing,China,0.0
mining,Belgium,processing,Germany,0.0
mining,Belgium,processing,India,0.0
mining,Belgium,processing,Indonesia,0.0
mining,Belgium,processing,Japan,0.0
mining,Belgium,processing,Mexico,0.0
mining,Belgium,processing,Netherlands,0.0
mining,Belgium,processing,Poland,0.0
mining,Belgium,processing,South Korea,0.0
mining,Belgium,processing,Russia,0.0
mining,Belgium,processing,Spain,0.0
mining,Belgium,processing,USA,0.0
mining,Belgium,processing,RoW Asia Pacific,0.0
mining,Belgium,processing,RoW America,0.0
mining,Belgium,processing,RoW Africa,0.0
mining,Belgium,processing,RoW Middle East,0.0
mining,Belgium,processing,RoW Europe,0.0
mining,Brazil,processing,Australia,859.818833440998
mining,Brazil,processing,Belgium,1397.6688025689682
mining,Brazil,processing,Brazil,179916.48245599444
mining,Brazil,processing,Bulgaria,5577.00056758419
mining,Brazil,processing,Canada,1080.182798358013
mining,Brazil,processing,China,56152.48738755335
mining,Brazil,processing,Germany,23169.931682590115
mining,Brazil,processing,India,16968.651733631435
mining,Brazil,processing,Indonesia,352.9652393287267
mining,Brazil,processing,Japan,1824.8116359857258
mining,Brazil,processing,Mexico,868.8432784996578
mining,Brazil,processing,Netherlands,799.5106445870146
mining,Brazil,processing,Poland,538.9871124978755
mining,Brazil,processing,South Korea,14954.690055295028
mining,Brazil,processing,Russia,93.42852566975249
mining,Brazil,processing,Spain,5055.127451676908
mining,Brazil,processing,USA,11120.3058672622
mining,Brazil,processing,RoW Asia Pacific,4604.145875791936
mining,Brazil,processing,RoW America,56816.98613836099
mining,Brazil,processing,RoW Africa,1003.4621634866537
mining,Brazil,processing,RoW Middle East,2891.5452548497356
mining,Brazil,processing,RoW Europe,18121.716113914623
mining,Bulgaria,processing,Australia,30.5142434142024
mining,Bulgaria,processing,Belgium,3048.741530949241
mining,Bulgaria,processing,Brazil,14.107337939616519
mining,Bulgaria,processing,Bulgaria,63269.21401863205
mining,Bulgaria,processing,Canada,74.12603955545086
mining,Bulgaria,processing,China,33368.7427706416
mining,Bulgaria,processing,Germany,3323.5577669708314
mining,Bulgaria,processing,India,77.0477507858755
mining,Bulgaria,processing,Indonesia,14.200890513129746
mining,Bulgaria,processing,Japan,56.33383604501092
mining,Bulgaria,processing,Mexico,37.612145259481586
mining,Bulgaria,processing,Netherlands,162.59355219898944
mining,Bulgaria,processing,Poland,163.03505719292272
mining,Bulgaria,processing,South Korea,883.92919143311
mining,Bulgaria,processing,Russia,71.66005849630872
mining,Bulgaria,processing,Spain,145.70207914435872
mining,Bulgaria,processing,USA,565.6854683201718
mining,Bulgaria,processing,RoW Asia Pacific,628.2479835605812
mining,Bulgaria,processing,RoW America,12.523702528550961
mining,Bulgaria,processing,RoW Africa,280.887193041022
mining,Bulgaria,processing,RoW Middle East,513.9984618565667
mining,Bulgaria,processing,RoW Europe,14915.424630679145
mining,Canada,processing,Australia,147.41368721705544
mining,Canada,processing,Belgium,447.53777322430557
mining,Canada,processing,Brazil,423.76739520509767
mining,Canada,processing,Bulgaria,768.9720413711807
mining,Canada,processing,Canada,190549.32793488997
mining,Canada,processing,China,43127.65966703927
mining,Canada,processing,Germany,3176.6831069633895
mining,Canada,processing,India,7040.070907418008
mining,Canada,processing,Indonesia,153.98511080596901
mining,Canada,processing,Japan,18006.165808993024
mining,Canada,processing,Mexico,713.6960148985606
mining,Canada,processing,Netherlands,344.22015960092045
mining,Canada,processing,Poland,312.3807232342505
mining,Canada,processing,South Korea,15108.85776697399
mining,Canada,processing,Russia,25.26665611708203
mining,Canada,processing,Spain,1907.294355371633
mining,Canada,processing,USA,20582.122338410565
mining,Canada,processing,RoW Asia Pacific,3008.6477367469142
mining,Canada,processing,RoW America,2881.391425285171
mining,Canada,processing,RoW Africa,278.6093213541661
mining,Canada,processing,RoW Middle East,534.0337544901047
mining,Canada,processing,RoW Europe,10151.33714618244
mining,China,processing,Australia,175.29628076658776
mining,China,processing,Belgium,123.80176655693563
mining,China,processing,Brazil,144.70813919133417
mining,China,processing,Bulgaria,71.5283984429797
mining,China,processing,Canada,142.25477756562123
mining,China,processing,China,331365.2924789291
mining,China,processing,Germany,357.3684176582391
mining,China,processing,India,456.12954517448253
mining,China,processing,Indonesia,105.12782295435085
mining,China,processing,Japan,343.13004990332666
mining,China,processing,Mexico,168.5337991747379
mining,China,processing,Netherlands,51.77018377662811
mining,China,processing,Poland,76.36368111341305
mining,China,processing,South Korea,1291.3403001235645
mining,China,processing,Russia,57.04686925173285
mining,China,processing,Spain,90.00697078602094
mining,China,processing,USA,843.2471285083667
mining,China,processing,RoW Asia Pacific,2924.184077701962
mining,China,processing,RoW America,1889.251830308935
mining,China,processing,RoW Africa,229.14101345119974
mining,China,processing,RoW Middle East,678.8283347302674
mining,China,processing,RoW Europe,982.7747949124812
mining,Germany,processing,Australia,1.8586208563323952
mining,Germany,processing,Belgium,19.466916620260612
mining,Germany,processing,Brazil,3.384942363784424
mining,Germany,processing,Bulgaria,5.392810406105165
mining,Germany,processing,Canada,3.068251093470753
mining,Germany,processing,China,103.35601393427861
mining,Germany,processing,Germany,439.6394556705359
mining,Germany,processing,India,5.645658065796796
mining,Germany,processing,Indonesia,0.6710160680660506
mining,Germany,processing,Japan,4.722494610463507
mining,Germany,processing,Mexico,3.8430914859551524
mining,Germany,processing,Netherlands,24.451359943706052
mining,Germany,processing,Poland,40.40100197890884
mining,Germany,processing,South Korea,7.423241538502877
mining,Germany,processing,Russia,1.6825319257661708
mining,Germany,processing,Spain,21.721383338342413
mining,Germany,processing,USA,21.744242543868793
mining,Germany,processing,RoW Asia Pacific,13.803628910754405
mining,Germany,processing,RoW America,26.480687698104404
mining,Germany,processing,RoW Africa,10.901496530532
mining,Germany,processing,RoW Middle East,49.886575040947164
mining,Germany,processing,RoW Europe,239.85786996614925
mining,India,processing,Australia,63.153574888561955
mining,India,processing,Belgium,128.3832039917051
mining,India,processing,Brazil,75.69944448522847
mining,India,processing,Bulgaria,93.6183215152214
mining,India,processing,Canada,91.64431380981512
mining,India,processing,China,20440.833868755268
mining,India,processing,Germany,326.46003583181863
mining,India,processing,India,158835.25086814872
mining,India,processing,Indonesia,37.722536102494054
mining,India,processing,Japan,1583.1008839844849
mining,India,processing,Mexico,729.0769540714181
mining,India,processing,Netherlands,45.83901548344816
mining,India,processing,Poland,74.52472841145556
mining,India,processing,South Korea,489.28978646769684
mining,India,processing,Russia,20.474863392831843
mining,India,processing,Spain,77.36772193909275
mining,India,processing,USA,429.79012874166233
mining,India,processing,RoW Asia Pacific,2528.7639558596475
mining,India,processing,RoW America,458.9660935233092
mining,India,processing,RoW Africa,369.57903708230117
mining,India,processing,RoW Middle East,4083.7749985742894
mining,India,processing,RoW Europe,769.030859341343
mining,Indonesia,processing,Australia,9273.509397573156
mining,Indonesia,processing,Belgium,1620.717498545376
mining,Indonesia,processing,Brazil,542.3548939884984
mining,Indonesia,processing,Bulgaria,4463.315125567101
mining,Indonesia,processing,Canada,1380.0379980295747
mining,Indonesia,processing,China,345141.673481924
mining,Indonesia,processing,Germany,7918.81970173722
mining,Indonesia,processing,India,441098.17893233424
mining,Indonesia,processing,Indonesia,1854168.870450776
mining,Indonesia,processing,Japan,105384.83236729688
mining,Indonesia,processing,Mexico,3642.40237874166
mining,Indonesia,processing,Netherlands,476.34654848609597
mining,Indonesia,processing,Poland,599.0303848977146
mining,Indonesia,processing,South Korea,66624.31674844897
mining,Indonesia,processing,Russia,711.8810249976902
mining,Indonesia,processing,Spain,28199.628911465563
mining,Indonesia,processing,USA,6007.553382952021
mining,Indonesia,processing,RoW Asia Pacific,125173.61798815156
mining,Indonesia,processing,RoW America,2561.5483721472056
mining,Indonesia,processing,RoW Africa,3819.9146461183886
mining,Indonesia,processing,RoW Middle East,24433.941491554786
mining,Indonesia,processing,RoW Europe,20569.22000455377
mining,Japan,processing,Australia,0.4652209942812345
mining,Japan,processing,Belgium,0.3671277134121039
mining,Japan,processing,Brazil,0.16190416607386185
mining,Japan,processing,Bulgaria,1.0991527042575648
mining,Japan,processing,Canada,0.426557754924267
mining,Japan,processing,China,57.523183985654434
mining,Japan,processing,Germany,1.300498518281996
mining,Japan,processing,India,2.856939396473781
mining,Japan,processing,Indonesia,0.31453902519558474
mining,Japan,processing,Japan,4.972278224509339
mining,Japan,processing,Mexico,0.659754071619564
mining,Japan,processing,Netherlands,0.1462072560921812
mining,Japan,processing,Poland,0.19843105551026424
mining,Japan,processing,South Korea,3.3962236288016645
mining,Japan,processing,Russia,0.6552044557206363
mining,Japan,processing,Spain,0.43546660277422244
mining,Japan,processing,USA,6.106799356138503
mining,Japan,processing,RoW Asia Pacific,57.22019222923493
mining,Japan,processing,RoW America,0.8685022629762754
mining,Japan,processing,RoW Africa,0.3037856953241332
mining,Japan,processing,RoW Middle East,3.9205479251811175
mining,Japan,processing,RoW Europe,2.72500852781131
mining,Mexico,processing,Australia,381.9787503747885
mining,Mexico,processing,Belgium,903.2458746174627
mining,Mexico,processing,Brazil,214.38594665960304
mining,Mexico,processing,Bulgaria,57.4343042698765
mining,Mexico,processing,Canada,1211.1296779060547
mining,Mexico,processing,China,98452.10622679668
mining,Mexico,processing,Germany,1108.3214590722669
mining,Mexico,processing,India,333.99267281591125
mining,Mexico,processing,Indonesia,56.119560772486
mining,Mexico,processing,Japan,3261.5552258753505
mining,Mexico,processing,Mexico,743061.0394057628
mining,Mexico,processing,Netherlands,98.98943622726587
mining,Mexico,processing,Poland,1217.6845728977626
mining,Mexico,processing,South Korea,2937.791677210966
mining,Mexico,processing,Russia,24.046131512203612
mining,Mexico,processing,Spain,189.26239243468353
mining,Mexico,processing,USA,18056.17646887838
mining,Mexico,processing,RoW Asia Pacific,2277.5147938924624
mining,Mexico,processing,RoW America,2795.2949069327406
mining,Mexico,processing,RoW Africa,135.0951140064332
mining,Mexico,processing,RoW Middle East,709.8496974472542
mining,Mexico,processing,RoW Europe,2424.906279275653
mining,Netherlands,processing,Australia,0.0
mining,Netherlands,processing,Belgium,0.0
mining,Netherlands,processing,Brazil,0.0
mining,Netherlands,processing,Bulgaria,0.0
mining,Netherlands,processing,Canada,0.0
mining,Netherlands,processing,China,0.0
mining,Netherlands,processing,Germany,0.0
mining,Netherlands,processing,India,0.0
mining,Netherlands,processing,Indonesia,0.0
mining,Netherlands,processing,Japan,0.0
mining,Netherlands,processing,Mexico,0.0
mining,Netherlands,processing,Netherlands,0.0
mining,Netherlands,processing,Poland,0.0
mining,Netherlands,processing,South Korea,0.0
mining,Netherlands,processing,Russia,0.0
mining,Netherlands,processing,Spain,0.0
mining,Netherlands,processing,USA,0.0
mining,Netherlands,processing,RoW Asia Pacific,0.0
mining,Netherlands,processing,RoW America,0.0
mining,Netherlands,processing,RoW Africa,0.0
mining,Netherlands,processing,RoW Middle East,0.0
mining,Netherlands,processing,RoW Europe,0.0
mining,Poland,processing,Australia,10.78442259597144
mining,Poland,processing,Belgium,26.565509599699528
mining,Poland,processing,Brazil,1.9421835826740046
mining,Poland,processing,Bulgaria,38.889998680668945
mining,Poland,processing,Canada,5.8366462332805344
mining,Poland,processing,China,1475.5806745279388
mining,Poland,processing,Germany,590.3050179014856
mining,Poland,processing,India,16.614909244246927
mining,Poland,processing,Indonesia,0.9324069120088863
mining,Poland,processing,Japan,5.244792107297048
mining,Poland,processing,Mexico,3.9354070732096575
mining,Poland,processing,Netherlands,12.24247608617461
mining,Poland,processing,Poland,53964.067850705156
mining,Poland,processing,South Korea,15.213942068450066
mining,Poland,processing,Russia,6.403530953179996
mining,Poland,processing,Spain,14.7977663773119
mining,Poland,processing,USA,46.31263861264137
mining,Poland,processing,RoW Asia Pacific,88.3369467513852
mining,Poland,processing,RoW America,6.987478851546995
mining,Poland,processing,RoW Africa,14.254814679700722
mining,Poland,processing,RoW Middle East,30.33245386224489
mining,Poland,processing,RoW Europe,663.032623412815
mining,South Korea,processing,Australia,0.5406983232463438
mining,South Korea,processing,Belgium,0.5260244662954842
mining,South Korea,processing,Brazil,0.6168952155063968
mining,South Korea,processing,Bulgaria,0.3984858800774712
mining,South Korea,processing,Canada,0.5528103646565725
mining,South Korea,processing,China,84.95994513862276
mining,South Korea,processing,Germany,0.9762799571215945
mining,South Korea,processing,India,3.646577478851879
mining,South Korea,processing,Indonesia,0.3525843492657753
mining,South Korea,processing,Japan,1.5326936050501379
mining,South Korea,processing,Mexico,1.3470283139259265
mining,South Korea,processing,Netherlands,0.1693074978110916
mining,South Korea,processing,Poland,0.5577601586930894
mining,South Korea,processing,South Korea,7.20030103094403
mining,South Korea,processing,Russia,0.2904654121582331
mining,South Korea,processing,Spain,0.3297918391884503
mining,South Korea,processing,USA,2.2083780264304456
mining,South Korea,processing,RoW Asia Pacific,13.760789195228883
mining,South Korea,processing,RoW America,3.1895604074629826
mining,South Korea,processing,RoW Africa,0.7749850910164973
mining,South Korea,processing,RoW Middle East,5.335791072533298
mining,South Korea,processing,RoW Europe,2.8455400500116843
mining,Russia,processing,Australia,48.699822458518994
mining,Russia,processing,Belgium,2069.7899137504173
mining,Russia,processing,Brazil,74.43130467678648
mining,Russia,processing,Bulgaria,350.3478477102849
mining,Russia,processing,Canada,156.8282275919077
mining,Russia,processing,China,7886.284854382407
mining,Russia,processing,Germany,5615.4791724004
mining,Russia,processing,India,1258.7517903454818
mining,Russia,processing,Indonesia,61.70026343229656
mining,Russia,processing,Japan,244.3187819339637
mining,Russia,processing,Mexico,114.35519525177527
mining,Russia,processing,Netherlands,4141.364941263116
mining,Russia,processing,Poland,1464.0375207566128
mining,Russia,processing,South Korea,592.1089074619233
mining,Russia,processing,Russia,320441.36477660143
mining,Russia,processing,Spain,172.90314446804024
mining,Russia,processing,USA,608.758950364066
mining,Russia,processing,RoW Asia Pacific,2093.581820250311
mining,Russia,processing,RoW America,322.77929281163824
mining,Russia,processing,RoW Africa,334.4706775085073
mining,Russia,processing,RoW Middle East,5337.078966471163
mining,Russia,processing,RoW Europe,6789.753304594033
mining,Spain,processing,Australia,52.69653170135889
mining,Spain,processing,Belgium,4375.581878914706
mining,Spain,processing,Brazil,22.41679690015633
mining,Spain,processing,Bulgaria,61477.781405263595
mining,Spain,processing,Canada,108.58473313770328
mining,Spain,processing,China,72148.91581285185
mining,Spain,processing,Germany,4060.8479011963796
mining,Spain,processing,India,97.27801551661739
mining,Spain,processing,Indonesia,26.466907984339326
mining,Spain,processing,Japan,59.66689156553791
mining,Spain,processing,Mexico,46.225102622640335
mining,Spain,processing,Netherlands,165.71233267928372
mining,Spain,processing,Poland,245.5660934147675
mining,Spain,processing,South Korea,1198.821366879139
mining,Spain,processing,Russia,35.57441265421707
mining,Spain,processing,Spain,66440.16329303711
mining,Spain,processing,USA,674.9201051953318
mining,Spain,processing,RoW Asia Pacific,988.0233347093183
mining,Spain,processing,RoW America,38.10267322372926
mining,Spain,processing,RoW Africa,433.15276568416454
mining,Spain,processing,RoW Middle East,881.8978013120974
mining,Spain,processing,RoW Europe,13908.322052307232
mining,USA,processing,Australia,270.6938601659157
mining,USA,processing,Belgium,991.7228351188432
mining,USA,processing,Brazil,515.4434403875384
mining,USA,processing,Bulgaria,302.3365143864735
mining,USA,processing,Canada,16727.764527828163
mining,USA,processing,China,131552.09258609818
mining,USA,processing,Germany,4722.232739230562
mining,USA,processing,India,3091.054793063198
mining,USA,processing,Indonesia,131.61754822928418
mining,USA,processing,Japan,15039.695662548313
mining,USA,processing,Mexico,2501.018842980072
mining,USA,processing,Netherlands,269.35967969864583
mining,USA,processing,Poland,256.40261229255736
mining,USA,processing,South Korea,3647.055014086031
mining,USA,processing,Russia,60.30701470587536
mining,USA,processing,Spain,27879.4217465876
mining,USA,processing,USA,883334.3035143464
mining,USA,processing,RoW Asia Pacific,5038.231543834671
mining,USA,processing,RoW America,1733.6892496196297
mining,USA,processing,RoW Africa,2478.233696764582
mining,USA,processing,RoW Middle East,2430.6294191849
mining,USA,processing,RoW Europe,12292.301685098568
mining,RoW Asia Pacific,processing,Australia,6079.9862533751475
mining,RoW Asia Pacific,processing,Belgium,5148.772000944886
mining,RoW Asia Pacific,processing,Brazil,1966.0942742700508
mining,RoW Asia Pacific,processing,Bulgaria,17928.627658568494
mining,RoW Asia Pacific,processing,Canada,1980.8595496529456
mining,RoW Asia Pacific,processing,China,1152495.8507725028
mining,RoW Asia Pacific,processing,Germany,20254.23398296336
mining,RoW Asia Pacific,processing,India,44674.28638510279
mining,RoW Asia Pacific,processing,Indonesia,2632.3114428885524
mining,RoW Asia Pacific,processing,Japan,119198.5886069061
mining,RoW Asia Pacific,processing,Mexico,2218.571847190165
mining,RoW Asia Pacific,processing,Netherlands,1495.617898357672
mining,RoW Asia Pacific,processing,Poland,1489.201198938194
mining,RoW Asia Pacific,processing,South Korea,46452.20114652679
mining,RoW Asia Pacific,processing,Russia,12145.724635640963
mining,RoW Asia Pacific,processing,Spain,7186.719710485049
mining,RoW Asia Pacific,processing,USA,12994.612836545957
mining,RoW Asia Pacific,processing,RoW Asia Pacific,1024027.9518568922
mining,RoW Asia Pacific,processing,RoW America,7695.510719657154
mining,RoW Asia Pacific,processing,RoW Africa,3541.846186081386
mining,RoW Asia Pacific,processing,RoW Middle East,11526.130499933168
mining,RoW Asia Pacific,processing,RoW Europe,51203.1641003334
mining,RoW America,processing,Australia,19116.18074954049
mining,RoW America,processing,Belgium,24307.56444205352
mining,RoW America,processing,Brazil,222017.75704915827
mining,RoW America,processing,Bulgaria,97895.99111128235
mining,RoW America,processing,Canada,23804.56927781763
mining,RoW America,processing,China,2940116.9992284076
mining,RoW America,processing,Germany,213151.11425600192
mining,RoW America,processing,India,529785.5541837718
mining,RoW America,processing,Indonesia,5915.94468558412
mining,RoW America,processing,Japan,842007.7446722267
mining,RoW America,processing,Mexico,11009.16821596124
mining,RoW America,processing,Netherlands,12098.983518303638
mining,RoW America,processing,Poland,4236.299582187166
mining,RoW America,processing,South Korea,418845.02357754624
mining,RoW America,processing,Russia,1229.001060997433
mining,RoW America,processing,Spain,148708.27365554243
mining,RoW America,processing,USA,282511.3541364089
mining,RoW America,processing,RoW Asia Pacific,126767.06904498214
mining,RoW America,processing,RoW America,3075509.6022262727
mining,RoW America,processing,RoW Africa,16982.27909058178
mining,RoW America,processing,RoW Middle East,25716.62689459279
mining,RoW America,processing,RoW Europe,242285.66570893655
mining,RoW Africa,processing,Australia,517.3565298965839
mining,RoW Africa,processing,Belgium,2795.70745276741
mining,RoW Africa,processing,Brazil,438.4702451589143
mining,RoW Africa,processing,Bulgaria,12671.095826417515
mining,RoW Africa,processing,Canada,3474.1283575958573
mining,RoW Africa,processing,China,211336.51840177525
mining,RoW Africa,processing,Germany,11767.368663523805
mining,RoW Africa,processing,India,76190.80567204139
mining,RoW Africa,processing,Indonesia,286.0960015294141
mining,RoW Africa,processing,Japan,14946.269901734464
mining,RoW Africa,processing,Mexico,798.8239634704667
mining,RoW Africa,processing,Netherlands,583.5487924044985
mining,RoW Africa,processing,Poland,1196.6145441140948
mining,RoW Africa,processing,South Korea,10918.67954670735
mining,RoW Africa,processing,Russia,226.21211522764133
mining,RoW Africa,processing,Spain,2357.8842137952997
mining,RoW Africa,processing,USA,5936.847655869508
mining,RoW Africa,processing,RoW Asia Pacific,9638.178495539269
mining,RoW Africa,processing,RoW America,1620.0536107562293
mining,RoW Africa,processing,RoW Africa,751259.5537417716
mining,RoW Africa,processing,RoW Middle East,19491.6022449537
mining,RoW Africa,processing,RoW Europe,17027.36024203172
mining,RoW Middle East,processing,Australia,17.768767602067847
mining,RoW Middle East,processing,Belgium,125.40976428783918
mining,RoW Middle East,processing,Brazil,18.729607293947147
mining,RoW Middle East,processing,Bulgaria,438.95560514554666
mining,RoW Middle East,processing,Canada,49.23293884359213
mining,RoW Middle East,processing,China,3544.6246584824125
mining,RoW Middle East,processing,Germany,221.80141439933462
mining,RoW Middle East,processing,India,940.7745477526186
mining,RoW Middle East,processing,Indonesia,17.4891565248101
mining,RoW Middle East,processing,Japan,78.86705006328202
mining,RoW Middle East,processing,Mexico,27.31928039507934
mining,RoW Middle East,processing,Netherlands,27.536658761360407
mining,RoW Middle East,processing,Poland,20.497567368945724
mining,RoW Middle East,processing,South Korea,599.2740851496181
mining,RoW Middle East,processing,Russia,5.824618862552162
mining,RoW Middle East,processing,Spain,42.93848416237773
mining,RoW Middle East,processing,USA,100.73920027136435
mining,RoW Middle East,processing,RoW Asia Pacific,335.9211127864345
mining,RoW Middle East,processing,RoW America,66.96096877091071
mining,RoW Middle East,processing,RoW Africa,315.0423242877297
mining,RoW Middle East,processing,RoW Middle East,87362.8342218528
mining,RoW Middle East,processing,RoW Europe,909.4101798184822
mining,RoW Europe,processing,Australia,101.03047202098328
mining,RoW Europe,processing,Belgium,1822.2807441726002
mining,RoW Europe,processing,Brazil,185.41221710292982
mining,RoW Europe,processing,Bulgaria,19368.879318870913
mining,RoW Europe,processing,Canada,276.04155522435104
mining,RoW Europe,processing,China,120228.15856726504
mining,RoW Europe,processing,Germany,4221.938588211468
mining,RoW Europe,processing,India,4960.283491316947
mining,RoW Europe,processing,Indonesia,52.46152157763281
mining,RoW Europe,processing,Japan,272.5497805453375
mining,RoW Europe,processing,Mexico,209.05288056563043
mining,RoW Europe,processing,Netherlands,298.01761043296005
mining,RoW Europe,processing,Poland,957.7782278687678
mining,RoW Europe,processing,South Korea,1160.7349727827047
mining,RoW Europe,processing,Russia,172.5429684830491
mining,RoW Europe,processing,Spain,2967.936039486394
mining,RoW Europe,processing,USA,2003.453164753394
mining,RoW Europe,processing,RoW Asia Pacific,2022.420810413375
mining,RoW Europe,processing,RoW America,512.824124143205
